year,age,life_stage,zip_code,city,county,state,fed_income_tax_paid,fica_social_security_paid,fica_medicare_paid,fed_excise_tax_est,fed_other_fees,state_income_tax_paid,state_sales_tax_est,state_excise_tax_est,state_fees,local_income_wage_tax_paid,property_tax_paid,local_fees_fines,total_taxes_fees_paid,social_security_received,medicare_benefits_received,medicaid_benefits_received,chip_benefits_received,snap_received,wic_received,tanf_received,unemployment_insurance_received,ssi_ssdi_received,aca_premium_subsidy_received,eitc_refundable_received,child_tax_credit_refundable,pell_grant_received,fed_student_loan_subsidy_est,housing_assistance_received,va_benefits_received,other_direct_benefits,total_direct_benefits,k12_public_education_cost,public_university_state_subsidy,public_hospital_uncompensated,community_health_center,public_defender_cost,incarceration_cost,probation_parole_cost,foster_care_cost,public_transit_subsidy_est,other_direct_services,total_direct_services,defense_per_capita_share,veterans_affairs_per_capita,federal_law_enforcement_intel_share,diplomacy_foreign_affairs_share,fed_infrastructure_share,fed_public_health_share,fed_environment_share,fed_courts_share,fed_general_govt_share,fed_interest_on_debt_share,state_police_corrections_share,state_infrastructure_share,state_courts_share,state_public_health_share,state_parks_environment_share,state_general_govt_share,local_police_share,local_fire_ems_share,local_roads_share,local_water_sewer_share,local_parks_rec_share,local_library_share,local_general_govt_share,total_collective_allocated,total_govt_cost,net_fiscal_impact,cumulative_net_fiscal_impact,data_source_quality,notes
2026,29,working,,Philadelphia,Philadelphia,PA,0,1364,319,176,0,675,884,88,72,825,0,41,4444,0,0,9700,0,1140,900,0,0,0,0,3863,1700,0,0,0,0,0,17303,16000,0,0,950,0,0,0,0,0,0,16950,2685,896,179,194,299,164,36,27,45,2687,350,420,140,280,90,250,480,280,310,260,155,48,250,10525,44778,-40334,0,estimated,"Working poor, one child; 13 fragments resolved"
2026,29,working,,Delaware,Delaware County,PA,0,1364,319,176,0,675,884,88,72,0,0,41,3619,0,0,9700,0,1140,900,0,0,0,0,3863,1700,0,0,0,0,0,17303,16000,0,0,950,0,0,0,0,0,0,16950,2685,896,179,194,299,164,36,27,45,2687,350,420,140,280,90,250,480,280,310,260,155,48,250,10525,44778,-41159,0,modeled,"Working poor, one child; 4 fragments resolved"
2026,29,working,,Montgomery,Montgomery County,PA,0,1364,319,176,0,675,884,88,72,0,0,41,3619,0,0,9700,0,1140,900,0,0,0,0,3863,1700,0,0,0,0,0,17303,16000,0,0,950,0,0,0,0,0,0,16950,2685,896,179,194,299,164,36,27,45,2687,350,420,140,280,90,250,480,280,310,260,155,48,250,10525,44778,-41159,0,modeled,"Working poor, one child; 4 fragments resolved"
2026,29,working,,Bucks,Bucks County,PA,0,1364,319,176,0,675,884,88,72,0,0,41,3619,0,0,9700,0,1140,900,0,0,0,0,3863,1700,0,0,0,0,0,17303,16000,0,0,950,0,0,0,0,0,0,16950,2685,896,179,194,299,164,36,27,45,2687,350,420,140,280,90,250,480,280,310,260,155,48,250,10525,44778,-41159,0,modeled,"Working poor, one child; 4 fragments resolved"
2026,29,working,,Chester,Chester County,PA,0,1364,319,176,0,675,884,88,72,0,0,41,3619,0,0,9700,0,1140,900,0,0,0,0,3863,1700,0,0,0,0,0,17303,16000,0,0,950,0,0,0,0,0,0,16950,2685,896,179,194,299,164,36,27,45,2687,350,420,140,280,90,250,480,280,310,260,155,48,250,10525,44778,-41159,0,modeled,"Working poor, one child; 4 fragments resolved"
2026,29,working,,New York,New York County (Manhattan),NY,0,1364,319,176,0,1210,573,88,72,677,0,41,4520,0,0,9700,0,1140,900,0,0,0,0,3863,1700,0,0,0,0,0,17303,16000,0,0,950,0,0,0,0,0,0,16950,2685,896,179,194,299,164,36,27,45,2687,350,420,140,280,90,250,480,280,310,260,155,48,250,10525,44778,-40258,0,estimated,"Working poor, one child; 13 fragments resolved"
2026,29,working,,Kings,Kings County (Brooklyn),NY,0,1364,319,176,0,1210,573,88,72,677,0,41,4520,0,0,9700,0,1140,900,0,0,0,0,3863,1700,0,0,0,0,0,17303,16000,0,0,950,0,0,0,0,0,0,16950,2685,896,179,194,299,164,36,27,45,2687,350,420,140,280,90,250,480,280,310,260,155,48,250,10525,44778,-40258,0,modeled,"Working poor, one child; 4 fragments resolved"
2026,29,working,,Queens,Queens County,NY,0,1364,319,176,0,1210,573,88,72,677,0,41,4520,0,0,9700,0,1140,900,0,0,0,0,3863,1700,0,0,0,0,0,17303,16000,0,0,950,0,0,0,0,0,0,16950,2685,896,179,194,299,164,36,27,45,2687,350,420,140,280,90,250,480,280,310,260,155,48,250,10525,44778,-40258,0,modeled,"Working poor, one child; 4 fragments resolved"
2026,29,working,,Bronx,Bronx County,NY,0,1364,319,176,0,1210,573,88,72,677,0,41,4520,0,0,9700,0,1140,900,0,0,0,0,3863,1700,0,0,0,0,0,17303,16000,0,0,950,0,0,0,0,0,0,16950,2685,896,179,194,299,164,36,27,45,2687,350,420,140,280,90,250,480,280,310,260,155,48,250,10525,44778,-40258,0,modeled,"Working poor, one child; 4 fragments resolved"
2026,29,working,,Los Angeles,Los Angeles County,CA,0,1364,319,176,0,1320,1033,88,72,0,0,41,4413,0,0,9700,0,1140,900,0,0,0,0,3863,1700,0,0,0,0,0,17303,16000,0,0,950,0,0,0,0,0,0,16950,2685,896,179,194,299,164,36,27,45,2687,350,420,140,280,90,250,480,280,310,260,155,48,250,10525,44778,-40365,0,estimated,"Working poor, one child; 13 fragments resolved"
