year,age,life_stage,zip_code,city,county,state,fed_income_tax_paid,fica_social_security_paid,fica_medicare_paid,fed_excise_tax_est,fed_other_fees,state_income_tax_paid,state_sales_tax_est,state_excise_tax_est,state_fees,local_income_wage_tax_paid,property_tax_paid,local_fees_fines,total_taxes_fees_paid,social_security_received,medicare_benefits_received,medicaid_benefits_received,chip_benefits_received,snap_received,wic_received,tanf_received,unemployment_insurance_received,ssi_ssdi_received,aca_premium_subsidy_received,eitc_refundable_received,child_tax_credit_refundable,pell_grant_received,fed_student_loan_subsidy_est,housing_assistance_received,va_benefits_received,other_direct_benefits,total_direct_benefits,k12_public_education_cost,public_university_state_subsidy,public_hospital_uncompensated,community_health_center,public_defender_cost,incarceration_cost,probation_parole_cost,foster_care_cost,public_transit_subsidy_est,other_direct_services,total_direct_services,defense_per_capita_share,veterans_affairs_per_capita,federal_law_enforcement_intel_share,diplomacy_foreign_affairs_share,fed_infrastructure_share,fed_public_health_share,fed_environment_share,fed_courts_share,fed_general_govt_share,fed_interest_on_debt_share,state_police_corrections_share,state_infrastructure_share,state_courts_share,state_public_health_share,state_parks_environment_share,state_general_govt_share,local_police_share,local_fire_ems_share,local_roads_share,local_water_sewer_share,local_parks_rec_share,local_library_share,local_general_govt_share,total_collective_allocated,total_govt_cost,net_fiscal_impact,cumulative_net_fiscal_impact,data_source_quality,notes
2026,72,retired,,Philadelphia,Philadelphia,PA,0,868,203,112,0,430,637,56,64,525,0,37,2932,10000,15000,0,0,132,0,0,0,0,0,0,0,0,0,0,0,0,25132,0,0,0,950,0,0,0,0,0,0,950,2685,896,179,194,299,164,36,27,45,2687,350,420,140,280,90,250,480,280,310,260,155,48,250,10525,36607,-33675,0,estimated,"Elderly, disabled, fixed income; 13 fragments resolved"
2026,72,retired,,Delaware,Delaware County,PA,0,868,203,112,0,430,637,56,64,0,0,37,2407,10000,15000,0,0,132,0,0,0,0,0,0,0,0,0,0,0,0,25132,0,0,0,950,0,0,0,0,0,0,950,2685,896,179,194,299,164,36,27,45,2687,350,420,140,280,90,250,480,280,310,260,155,48,250,10525,36607,-34200,0,modeled,"Elderly, disabled, fixed income; 4 fragments resolved"
2026,72,retired,,Montgomery,Montgomery County,PA,0,868,203,112,0,430,637,56,64,0,0,37,2407,10000,15000,0,0,132,0,0,0,0,0,0,0,0,0,0,0,0,25132,0,0,0,950,0,0,0,0,0,0,950,2685,896,179,194,299,164,36,27,45,2687,350,420,140,280,90,250,480,280,310,260,155,48,250,10525,36607,-34200,0,modeled,"Elderly, disabled, fixed income; 4 fragments resolved"
2026,72,retired,,Bucks,Bucks County,PA,0,868,203,112,0,430,637,56,64,0,0,37,2407,10000,15000,0,0,132,0,0,0,0,0,0,0,0,0,0,0,0,25132,0,0,0,950,0,0,0,0,0,0,950,2685,896,179,194,299,164,36,27,45,2687,350,420,140,280,90,250,480,280,310,260,155,48,250,10525,36607,-34200,0,modeled,"Elderly, disabled, fixed income; 4 fragments resolved"
2026,72,retired,,Chester,Chester County,PA,0,868,203,112,0,430,637,56,64,0,0,37,2407,10000,15000,0,0,132,0,0,0,0,0,0,0,0,0,0,0,0,25132,0,0,0,950,0,0,0,0,0,0,950,2685,896,179,194,299,164,36,27,45,2687,350,420,140,280,90,250,480,280,310,260,155,48,250,10525,36607,-34200,0,modeled,"Elderly, disabled, fixed income; 4 fragments resolved"
2026,72,retired,,New York,New York County (Manhattan),NY,0,868,203,112,0,770,413,56,64,431,0,37,2954,10000,15000,0,0,132,0,0,0,0,0,0,0,0,0,0,0,0,25132,0,0,0,950,0,0,0,0,0,0,950,2685,896,179,194,299,164,36,27,45,2687,350,420,140,280,90,250,480,280,310,260,155,48,250,10525,36607,-33653,0,estimated,"Elderly, disabled, fixed income; 13 fragments resolved"
2026,72,retired,,Kings,Kings County (Brooklyn),NY,0,868,203,112,0,770,413,56,64,431,0,37,2954,10000,15000,0,0,132,0,0,0,0,0,0,0,0,0,0,0,0,25132,0,0,0,950,0,0,0,0,0,0,950,2685,896,179,194,299,164,36,27,45,2687,350,420,140,280,90,250,480,280,310,260,155,48,250,10525,36607,-33653,0,modeled,"Elderly, disabled, fixed income; 4 fragments resolved"
2026,72,retired,,Queens,Queens County,NY,0,868,203,112,0,770,413,56,64,431,0,37,2954,10000,15000,0,0,132,0,0,0,0,0,0,0,0,0,0,0,0,25132,0,0,0,950,0,0,0,0,0,0,950,2685,896,179,194,299,164,36,27,45,2687,350,420,140,280,90,250,480,280,310,260,155,48,250,10525,36607,-33653,0,modeled,"Elderly, disabled, fixed income; 4 fragments resolved"
2026,72,retired,,Bronx,Bronx County,NY,0,868,203,112,0,770,413,56,64,431,0,37,2954,10000,15000,0,0,132,0,0,0,0,0,0,0,0,0,0,0,0,25132,0,0,0,950,0,0,0,0,0,0,950,2685,896,179,194,299,164,36,27,45,2687,350,420,140,280,90,250,480,280,310,260,155,48,250,10525,36607,-33653,0,modeled,"Elderly, disabled, fixed income; 4 fragments resolved"
2026,72,retired,,Los Angeles,Los Angeles County,CA,0,868,203,112,0,840,745,56,64,0,0,37,2925,10000,15000,0,0,132,0,0,0,0,0,0,0,0,0,0,0,0,25132,0,0,0,950,0,0,0,0,0,0,950,2685,896,179,194,299,164,36,27,45,2687,350,420,140,280,90,250,480,280,310,260,155,48,250,10525,36607,-33682,0,estimated,"Elderly, disabled, fixed income; 13 fragments resolved"
2026,72,retired,,Cook,Cook County (Chicago),IL,0,868,203,112,0,693,650,56,64,0,0,37,2683,10000,15000,0,0,132,0,0,0,0,0,0,0,0,0,0,0,0,25132,0,0,0,950,0,0,0,0,0,0,950,2685,896,179,194,299,164,36,27,45,2687,350,420,140,280,90,250,480,280,310,260,155,48,250,10525,36607,-33924,0,estimated,"Elderly, disabled, fixed income; 13 fragments resolved"
2026,72,retired,,Harris,Harris County (Houston),TX,0,868,203,112,0,0,687,56,64,0,0,37,2027,10000,15000,0,0,132,0,0,0,0,0,0,0,0,0,0,0,0,25132,0,0,0,950,0,0,0,0,0,0,950,2685,896,179,194,299,164,36,27,45,2687,350,420,140,280,90,250,480,280,310,260,155,48,250,10525,36607,-34580,0,modeled,"Elderly, disabled, fixed income; 4 fragments resolved"
2026,72,retired,,Maricopa,Maricopa County (Phoenix),AZ,0,868,203,112,0,350,599,56,64,0,0,37,2289,10000,15000,0,0,132,0,0,0,0,0,0,0,0,0,0,0,0,25132,0,0,0,950,0,0,0,0,0,0,950,2685,896,179,194,299,164,36,27,45,2687,350,420,140,280,90,250,480,280,310,260,155,48,250,10525,36607,-34318,0,modeled,"Elderly, disabled, fixed income; 4 fragments resolved"
2026,72,retired,,Dallas,Dallas County,TX,0,868,203,112,0,0,687,56,64,0,0,37,2027,10000,15000,0,0,132,0,0,0,0,0,0,0,0,0,0,0,0,25132,0,0,0,950,0,0,0,0,0,0,950,2685,896,179,194,299,164,36,27,45,2687,350,420,140,280,90,250,480,280,310,260,155,48,250,10525,36607,-34580,0,modeled,"Elderly, disabled, fixed income; 4 fragments resolved"
2026,72,retired,,Miami-Dade,Miami-Dade County,FL,0,868,203,112,0,0,659,56,64,0,0,37,1999,10000,15000,0,0,132,0,0,0,0,0,0,0,0,0,0,0,0,25132,0,0,0,950,0,0,0,0,0,0,950,2685,896,179,194,299,164,36,27,45,2687,350,420,140,280,90,250,480,280,310,260,155,48,250,10525,36607,-34608,0,modeled,"Elderly, disabled, fixed income; 4 fragments resolved"
2026,72,retired,,Fulton,Fulton County (Atlanta),GA,0,868,203,112,0,769,413,56,64,0,0,37,2522,10000,15000,0,0,132,0,0,0,0,0,0,0,0,0,0,0,0,25132,0,0,0,950,0,0,0,0,0,0,950,2685,896,179,194,299,164,36,27,45,2687,350,420,140,280,90,250,480,280,310,260,155,48,250,10525,36607,-34085,0,modeled,"Elderly, disabled, fixed income; 4 fragments resolved"
2026,72,retired,,King,King County (Seattle),WA,0,868,203,112,0,0,714,56,64,0,0,37,2054,10000,15000,0,0,132,0,0,0,0,0,0,0,0,0,0,0,0,25132,0,0,0,950,0,0,0,0,0,0,950,2685,896,179,194,299,164,36,27,45,2687,350,420,140,280,90,250,480,280,310,260,155,48,250,10525,36607,-34553,0,modeled,"Elderly, disabled, fixed income; 4 fragments resolved"
2026,72,retired,,Baltimore City,Baltimore City,MD,0,868,203,112,0,665,625,56,64,448,0,37,3078,10000,15000,0,0,132,0,0,0,0,0,0,0,0,0,0,0,0,25132,0,0,0,950,0,0,0,0,0,0,950,2685,896,179,194,299,164,36,27,45,2687,350,420,140,280,90,250,480,280,310,260,155,48,250,10525,36607,-33529,0,estimated,"Elderly, disabled, fixed income; 13 fragments resolved"
2026,72,retired,,District of Columbia,District of Columbia,DC,0,868,203,112,0,840,617,56,64,0,0,37,2797,10000,15000,0,0,132,0,0,0,0,0,0,0,0,0,0,0,0,25132,0,0,0,950,0,0,0,0,0,0,950,2685,896,179,194,299,164,36,27,45,2687,350,420,140,280,90,250,480,280,310,260,155,48,250,10525,36607,-33810,0,modeled,"Elderly, disabled, fixed income; 4 fragments resolved"
2026,72,retired,,Bell,Bell County,KY,0,868,203,112,0,560,631,56,64,0,0,37,2531,10000,15000,0,0,132,0,0,0,0,0,0,0,0,0,0,0,0,25132,0,0,0,950,0,0,0,0,0,0,950,2685,896,179,194,299,164,36,27,45,2687,350,420,140,280,90,250,480,280,310,260,155,48,250,10525,36607,-34076,0,modeled,"Elderly, disabled, fixed income; 4 fragments resolved"
2026,72,retired,,Mercer,Mercer County,WV,0,868,203,112,0,658,626,56,64,0,0,37,2624,10000,15000,0,0,132,0,0,0,0,0,0,0,0,0,0,0,0,25132,0,0,0,950,0,0,0,0,0,0,950,2685,896,179,194,299,164,36,27,45,2687,350,420,140,280,90,250,480,280,310,260,155,48,250,10525,36607,-33983,0,modeled,"Elderly, disabled, fixed income; 4 fragments resolved"
2026,72,retired,,Hinds,Hinds County (Jackson),MS,0,868,203,112,0,658,730,56,64,0,0,37,2728,10000,15000,0,0,132,0,0,0,0,0,0,0,0,0,0,0,0,25132,0,0,0,950,0,0,0,0,0,0,950,2685,896,179,194,299,164,36,27,45,2687,350,420,140,280,90,250,480,280,310,260,155,48,250,10525,36607,-33879,0,modeled,"Elderly, disabled, fixed income; 4 fragments resolved"
2026,72,retired,,Jefferson,Jefferson County (Birmingham),AL,0,868,203,112,0,560,421,56,64,0,0,37,2321,10000,15000,0,0,132,0,0,0,0,0,0,0,0,0,0,0,0,25132,0,0,0,950,0,0,0,0,0,0,950,2685,896,179,194,299,164,36,27,45,2687,350,420,140,280,90,250,480,280,310,260,155,48,250,10525,36607,-34286,0,modeled,"Elderly, disabled, fixed income; 4 fragments resolved"
2026,72,retired,,Wayne,Wayne County (Detroit),MI,0,868,203,112,0,595,629,56,64,336,0,37,2900,10000,15000,0,0,132,0,0,0,0,0,0,0,0,0,0,0,0,25132,0,0,0,950,0,0,0,0,0,0,950,2685,896,179,194,299,164,36,27,45,2687,350,420,140,280,90,250,480,280,310,260,155,48,250,10525,36607,-33707,0,modeled,"Elderly, disabled, fixed income; 4 fragments resolved"
2026,72,retired,,Cuyahoga,Cuyahoga County (Cleveland),OH,0,868,203,112,0,490,608,56,64,280,0,37,2718,10000,15000,0,0,132,0,0,0,0,0,0,0,0,0,0,0,0,25132,0,0,0,950,0,0,0,0,0,0,950,2685,896,179,194,299,164,36,27,45,2687,350,420,140,280,90,250,480,280,310,260,155,48,250,10525,36607,-33889,0,modeled,"Elderly, disabled, fixed income; 4 fragments resolved"
2026,72,retired,,Essex,Essex County,NJ,0,868,203,112,0,735,687,56,64,0,0,37,2762,10000,15000,0,0,132,0,0,0,0,0,0,0,0,0,0,0,0,25132,0,0,0,950,0,0,0,0,0,0,950,2685,896,179,194,299,164,36,27,45,2687,350,420,140,280,90,250,480,280,310,260,155,48,250,10525,36607,-33845,0,modeled,"Elderly, disabled, fixed income; 4 fragments resolved"
2026,72,retired,,Hudson,Hudson County,NJ,0,868,203,112,0,735,687,56,64,0,0,37,2762,10000,15000,0,0,132,0,0,0,0,0,0,0,0,0,0,0,0,25132,0,0,0,950,0,0,0,0,0,0,950,2685,896,179,194,299,164,36,27,45,2687,350,420,140,280,90,250,480,280,310,260,155,48,250,10525,36607,-33845,0,modeled,"Elderly, disabled, fixed income; 3 fragments resolved"
2026,72,retired,,Middlesex,Middlesex County,NJ,0,868,203,112,0,735,687,56,64,0,0,37,2762,10000,15000,0,0,132,0,0,0,0,0,0,0,0,0,0,0,0,25132,0,0,0,950,0,0,0,0,0,0,950,2685,896,179,194,299,164,36,27,45,2687,350,420,140,280,90,250,480,280,310,260,155,48,250,10525,36607,-33845,0,modeled,"Elderly, disabled, fixed income; 3 fragments resolved"
