year,age,life_stage,zip_code,city,county,state,fed_income_tax_paid,fica_social_security_paid,fica_medicare_paid,fed_excise_tax_est,fed_other_fees,state_income_tax_paid,state_sales_tax_est,state_excise_tax_est,state_fees,local_income_wage_tax_paid,property_tax_paid,local_fees_fines,total_taxes_fees_paid,social_security_received,medicare_benefits_received,medicaid_benefits_received,chip_benefits_received,snap_received,wic_received,tanf_received,unemployment_insurance_received,ssi_ssdi_received,aca_premium_subsidy_received,eitc_refundable_received,child_tax_credit_refundable,pell_grant_received,fed_student_loan_subsidy_est,housing_assistance_received,va_benefits_received,other_direct_benefits,total_direct_benefits,k12_public_education_cost,public_university_state_subsidy,public_hospital_uncompensated,community_health_center,public_defender_cost,incarceration_cost,probation_parole_cost,foster_care_cost,public_transit_subsidy_est,other_direct_services,total_direct_services,defense_per_capita_share,veterans_affairs_per_capita,federal_law_enforcement_intel_share,diplomacy_foreign_affairs_share,fed_infrastructure_share,fed_public_health_share,fed_environment_share,fed_courts_share,fed_general_govt_share,fed_interest_on_debt_share,state_police_corrections_share,state_infrastructure_share,state_courts_share,state_public_health_share,state_parks_environment_share,state_general_govt_share,local_police_share,local_fire_ems_share,local_roads_share,local_water_sewer_share,local_parks_rec_share,local_library_share,local_general_govt_share,total_collective_allocated,total_govt_cost,net_fiscal_impact,cumulative_net_fiscal_impact,data_source_quality,notes
2026,38,working,,Philadelphia,Philadelphia,PA,1172,3689,863,476,0,1827,1714,238,110,2231,2716,60,15096,0,0,0,0,0,0,0,0,0,2443,0,1700,0,0,0,0,0,4143,16000,0,0,0,0,0,0,0,0,0,16000,2685,896,179,194,299,164,36,27,45,2687,350,420,140,280,90,250,480,280,310,260,155,48,250,10525,30668,-15572,0,estimated,National benchmark — median household; 13 fragments resolved
2026,38,working,,Delaware,Delaware County,PA,1172,3689,863,476,0,1827,1714,238,110,0,2394,60,12543,0,0,0,0,0,0,0,0,0,2443,0,1700,0,0,0,0,0,4143,16000,0,0,0,0,0,0,0,0,0,16000,2685,896,179,194,299,164,36,27,45,2687,350,420,140,280,90,250,480,280,310,260,155,48,250,10525,30668,-18125,0,modeled,National benchmark — median household; 4 fragments resolved
2026,38,working,,Montgomery,Montgomery County,PA,1172,3689,863,476,0,1827,1714,238,110,0,2541,60,12690,0,0,0,0,0,0,0,0,0,2443,0,1700,0,0,0,0,0,4143,16000,0,0,0,0,0,0,0,0,0,16000,2685,896,179,194,299,164,36,27,45,2687,350,420,140,280,90,250,480,280,310,260,155,48,250,10525,30668,-17978,0,modeled,National benchmark — median household; 4 fragments resolved
2026,38,working,,Bucks,Bucks County,PA,1172,3689,863,476,0,1827,1714,238,110,0,2621,60,12770,0,0,0,0,0,0,0,0,0,2443,0,1700,0,0,0,0,0,4143,16000,0,0,0,0,0,0,0,0,0,16000,2685,896,179,194,299,164,36,27,45,2687,350,420,140,280,90,250,480,280,310,260,155,48,250,10525,30668,-17898,0,modeled,National benchmark — median household; 4 fragments resolved
2026,38,working,,Chester,Chester County,PA,1172,3689,863,476,0,1827,1714,238,110,0,2619,60,12768,0,0,0,0,0,0,0,0,0,2443,0,1700,0,0,0,0,0,4143,16000,0,0,0,0,0,0,0,0,0,16000,2685,896,179,194,299,164,36,27,45,2687,350,420,140,280,90,250,480,280,310,260,155,48,250,10525,30668,-17900,0,modeled,National benchmark — median household; 4 fragments resolved
2026,38,working,,New York,New York County (Manhattan),NY,1172,3689,863,476,0,3273,1111,238,110,1831,7624,60,20447,0,0,0,0,0,0,0,0,0,2443,0,1700,0,0,0,0,0,4143,16000,0,0,0,0,0,0,0,0,0,16000,2685,896,179,194,299,164,36,27,45,2687,350,420,140,280,90,250,480,280,310,260,155,48,250,10525,30668,-10221,0,estimated,National benchmark — median household; 13 fragments resolved
2026,38,working,,Kings,Kings County (Brooklyn),NY,1172,3689,863,476,0,3273,1111,238,110,1831,8272,60,21095,0,0,0,0,0,0,0,0,0,2443,0,1700,0,0,0,0,0,4143,16000,0,0,0,0,0,0,0,0,0,16000,2685,896,179,194,299,164,36,27,45,2687,350,420,140,280,90,250,480,280,310,260,155,48,250,10525,30668,-9573,0,modeled,National benchmark — median household; 4 fragments resolved
2026,38,working,,Queens,Queens County,NY,1172,3689,863,476,0,3273,1111,238,110,1831,5870,60,18693,0,0,0,0,0,0,0,0,0,2443,0,1700,0,0,0,0,0,4143,16000,0,0,0,0,0,0,0,0,0,16000,2685,896,179,194,299,164,36,27,45,2687,350,420,140,280,90,250,480,280,310,260,155,48,250,10525,30668,-11975,0,modeled,National benchmark — median household; 4 fragments resolved
2026,38,working,,Bronx,Bronx County,NY,1172,3689,863,476,0,3273,1111,238,110,1831,7611,60,20434,0,0,0,0,0,0,0,0,0,2443,0,1700,0,0,0,0,0,4143,16000,0,0,0,0,0,0,0,0,0,16000,2685,896,179,194,299,164,36,27,45,2687,350,420,140,280,90,250,480,280,310,260,155,48,250,10525,30668,-10234,0,modeled,National benchmark — median household; 4 fragments resolved
2026,38,working,,Los Angeles,Los Angeles County,CA,1172,3689,863,476,0,3570,2002,238,110,0,6921,60,19101,0,0,0,0,0,0,0,0,0,2443,0,1700,0,0,0,0,0,4143,16000,0,0,0,0,0,0,0,0,0,16000,2685,896,179,194,299,164,36,27,45,2687,350,420,140,280,90,250,480,280,310,260,155,48,250,10525,30668,-11567,0,estimated,National benchmark — median household; 13 fragments resolved
2026,38,working,,Cook,Cook County (Chicago),IL,1172,3689,863,476,0,2945,1747,238,110,0,2634,60,13934,0,0,0,0,0,0,0,0,0,2443,0,1700,0,0,0,0,0,4143,16000,0,0,0,0,0,0,0,0,0,16000,2685,896,179,194,299,164,36,27,45,2687,350,420,140,280,90,250,480,280,310,260,155,48,250,10525,30668,-16734,0,estimated,National benchmark — median household; 13 fragments resolved
2026,38,working,,Harris,Harris County (Houston),TX,1172,3689,863,476,0,0,1849,238,110,0,2373,60,10830,0,0,0,0,0,0,0,0,0,2443,0,1700,0,0,0,0,0,4143,16000,0,0,0,0,0,0,0,0,0,16000,2685,896,179,194,299,164,36,27,45,2687,350,420,140,280,90,250,480,280,310,260,155,48,250,10525,30668,-19838,0,modeled,National benchmark — median household; 4 fragments resolved
2026,38,working,,Maricopa,Maricopa County (Phoenix),AZ,1172,3689,863,476,0,1488,1610,238,110,0,3287,60,12993,0,0,0,0,0,0,0,0,0,2443,0,1700,0,0,0,0,0,4143,16000,0,0,0,0,0,0,0,0,0,16000,2685,896,179,194,299,164,36,27,45,2687,350,420,140,280,90,250,480,280,310,260,155,48,250,10525,30668,-17675,0,modeled,National benchmark — median household; 4 fragments resolved
2026,38,working,,Dallas,Dallas County,TX,1172,3689,863,476,0,0,1849,238,110,0,2546,60,11003,0,0,0,0,0,0,0,0,0,2443,0,1700,0,0,0,0,0,4143,16000,0,0,0,0,0,0,0,0,0,16000,2685,896,179,194,299,164,36,27,45,2687,350,420,140,280,90,250,480,280,310,260,155,48,250,10525,30668,-19665,0,modeled,National benchmark — median household; 4 fragments resolved
2026,38,working,,Miami-Dade,Miami-Dade County,FL,1172,3689,863,476,0,0,1775,238,110,0,4303,60,12686,0,0,0,0,0,0,0,0,0,2443,0,1700,0,0,0,0,0,4143,16000,0,0,0,0,0,0,0,0,0,16000,2685,896,179,194,299,164,36,27,45,2687,350,420,140,280,90,250,480,280,310,260,155,48,250,10525,30668,-17982,0,modeled,National benchmark — median household; 4 fragments resolved
2026,38,working,,Fulton,Fulton County (Atlanta),GA,1172,3689,863,476,0,3267,1111,238,110,0,3297,60,14283,0,0,0,0,0,0,0,0,0,2443,0,1700,0,0,0,0,0,4143,16000,0,0,0,0,0,0,0,0,0,16000,2685,896,179,194,299,164,36,27,45,2687,350,420,140,280,90,250,480,280,310,260,155,48,250,10525,30668,-16385,0,modeled,National benchmark — median household; 4 fragments resolved
2026,38,working,,King,King County (Seattle),WA,1172,3689,863,476,0,0,1922,238,110,0,4673,60,13203,0,0,0,0,0,0,0,0,0,2443,0,1700,0,0,0,0,0,4143,16000,0,0,0,0,0,0,0,0,0,16000,2685,896,179,194,299,164,36,27,45,2687,350,420,140,280,90,250,480,280,310,260,155,48,250,10525,30668,-17465,0,modeled,National benchmark — median household; 4 fragments resolved
2026,38,working,,Baltimore City,Baltimore City,MD,1172,3689,863,476,0,2826,1681,238,110,1904,2173,60,15192,0,0,0,0,0,0,0,0,0,2443,0,1700,0,0,0,0,0,4143,16000,0,0,0,0,0,0,0,0,0,16000,2685,896,179,194,299,164,36,27,45,2687,350,420,140,280,90,250,480,280,310,260,155,48,250,10525,30668,-15476,0,estimated,National benchmark — median household; 13 fragments resolved
2026,38,working,,District of Columbia,District of Columbia,DC,1172,3689,863,476,0,3570,1657,238,110,0,4948,60,16783,0,0,0,0,0,0,0,0,0,2443,0,1700,0,0,0,0,0,4143,16000,0,0,0,0,0,0,0,0,0,16000,2685,896,179,194,299,164,36,27,45,2687,350,420,140,280,90,250,480,280,310,260,155,48,250,10525,30668,-13885,0,modeled,National benchmark — median household; 4 fragments resolved
2026,38,working,,Bell,Bell County,KY,1172,3689,863,476,0,2380,1696,238,110,0,1627,60,12311,0,0,0,0,0,0,0,0,0,2443,0,1700,0,0,0,0,0,4143,16000,0,0,0,0,0,0,0,0,0,16000,2685,896,179,194,299,164,36,27,45,2687,350,420,140,280,90,250,480,280,310,260,155,48,250,10525,30668,-18357,0,modeled,National benchmark — median household; 4 fragments resolved
2026,38,working,,Mercer,Mercer County,WV,1172,3689,863,476,0,2797,1682,238,110,0,1771,60,12858,0,0,0,0,0,0,0,0,0,2443,0,1700,0,0,0,0,0,4143,16000,0,0,0,0,0,0,0,0,0,16000,2685,896,179,194,299,164,36,27,45,2687,350,420,140,280,90,250,480,280,310,260,155,48,250,10525,30668,-17810,0,modeled,National benchmark — median household; 4 fragments resolved
2026,38,working,,Hinds,Hinds County (Jackson),MS,1172,3689,863,476,0,2797,1963,238,110,0,2080,60,13448,0,0,0,0,0,0,0,0,0,2443,0,1700,0,0,0,0,0,4143,16000,0,0,0,0,0,0,0,0,0,16000,2685,896,179,194,299,164,36,27,45,2687,350,420,140,280,90,250,480,280,310,260,155,48,250,10525,30668,-17220,0,modeled,National benchmark — median household; 4 fragments resolved
2026,38,working,,Jefferson,Jefferson County (Birmingham),AL,1172,3689,863,476,0,2380,1131,238,110,0,2345,60,12464,0,0,0,0,0,0,0,0,0,2443,0,1700,0,0,0,0,0,4143,16000,0,0,0,0,0,0,0,0,0,16000,2685,896,179,194,299,164,36,27,45,2687,350,420,140,280,90,250,480,280,310,260,155,48,250,10525,30668,-18204,0,modeled,National benchmark — median household; 4 fragments resolved
2026,38,working,,Wayne,Wayne County (Detroit),MI,1172,3689,863,476,0,2529,1691,238,110,1428,1979,60,14235,0,0,0,0,0,0,0,0,0,2443,0,1700,0,0,0,0,0,4143,16000,0,0,0,0,0,0,0,0,0,16000,2685,896,179,194,299,164,36,27,45,2687,350,420,140,280,90,250,480,280,310,260,155,48,250,10525,30668,-16433,0,modeled,National benchmark — median household; 4 fragments resolved
2026,38,working,,Cuyahoga,Cuyahoga County (Cleveland),OH,1172,3689,863,476,0,2083,1635,238,110,1190,2005,60,13521,0,0,0,0,0,0,0,0,0,2443,0,1700,0,0,0,0,0,4143,16000,0,0,0,0,0,0,0,0,0,16000,2685,896,179,194,299,164,36,27,45,2687,350,420,140,280,90,250,480,280,310,260,155,48,250,10525,30668,-17147,0,modeled,National benchmark — median household; 4 fragments resolved
2026,38,working,,Essex,Essex County,NJ,1172,3689,863,476,0,3124,1846,238,110,0,4514,60,16092,0,0,0,0,0,0,0,0,0,2443,0,1700,0,0,0,0,0,4143,16000,0,0,0,0,0,0,0,0,0,16000,2685,896,179,194,299,164,36,27,45,2687,350,420,140,280,90,250,480,280,310,260,155,48,250,10525,30668,-14576,0,modeled,National benchmark — median household; 4 fragments resolved
2026,38,working,,Hudson,Hudson County,NJ,1172,3689,863,476,0,3124,1846,238,110,0,4003,60,15581,0,0,0,0,0,0,0,0,0,2443,0,1700,0,0,0,0,0,4143,16000,0,0,0,0,0,0,0,0,0,16000,2685,896,179,194,299,164,36,27,45,2687,350,420,140,280,90,250,480,280,310,260,155,48,250,10525,30668,-15087,0,modeled,National benchmark — median household; 3 fragments resolved
2026,38,working,,Middlesex,Middlesex County,NJ,1172,3689,863,476,0,3124,1846,238,110,0,2795,60,14373,0,0,0,0,0,0,0,0,0,2443,0,1700,0,0,0,0,0,4143,16000,0,0,0,0,0,0,0,0,0,16000,2685,896,179,194,299,164,36,27,45,2687,350,420,140,280,90,250,480,280,310,260,155,48,250,10525,30668,-16295,0,modeled,National benchmark — median household; 3 fragments resolved
